ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs15-I5-12,120851,9/21/2012,151,66.127,-37.581,0,17,,17,"2,10,18,20,23,25,28,30,40,45,50,60,68,81,100,150,151","-0.6030,-0.5079,-0.2423,0.0624,0.9460,1.1529,1.1781,1.3318,1.1082,0.9795,1.0159,1.0858,1.3933,1.6282,1.7736,2.1930,2.1930",,,"2,10,18,20,23,25,28,30,40,45,50,60,68,81,100,150,151","25.3780,28.5626,29.3263,29.3588,29.5781,29.8624,30.0899,30.1224,30.7236,31.1054,31.4304,31.8772,32.1940,32.6409,32.8927,33.4695,33.5020",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.3780,28.5626,29.3263,29.3588,29.5781,29.8624,30.0899,30.1224,30.7236,31.1054,31.4304,31.8772,32.1940,32.6409,32.8927,33.4695,33.5020"
rs15-I5-12,120851,9/21/2012,188,66.14606059,-37.5885303,0,17,,17,"2,6,10,20,25,30,31,40,50,60,87,100,150,158,173,182,188","-0.3440,-0.1724,-0.1724,0.0902,0.3632,0.8208,0.9170,0.8858,0.9170,0.9742,1.6502,1.7308,2.0402,2.2560,2.1260,1.5098,1.4396",,,"2,6,10,20,25,30,31,40,50,60,87,100,150,158,173,182,188","25.3780,28.2601,28.6528,29.5634,29.8975,30.1899,30.2233,30.6494,31.1423,31.5683,32.6126,32.8465,33.3644,33.4647,33.6318,33.7320,33.6986",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.3780,28.2601,28.6528,29.5634,29.8975,30.1899,30.2233,30.6494,31.1423,31.5683,32.6126,32.8465,33.3644,33.4647,33.6318,33.7320,33.6986"
rs15-I5-12,120851,9/21/2012,28,66.15025146,-37.58384795,0,17,,17,"2,4,8,10,12,14,15,16,18,19,20,22,23,24,25,26,28","-0.5860,-0.5197,-0.4347,-0.3334,-0.2647,-0.1833,-0.1262,-0.0308,0.1112,0.1857,0.2300,0.3382,0.4814,0.4895,0.5466,0.5699,0.5780",,,"2,4,8,10,12,14,15,16,18,19,20,22,23,24,25,26,28","26.6980,27.9523,28.7969,29.0916,29.2749,29.3899,29.4438,29.5732,29.7134,29.7960,29.8679,29.8967,29.9254,30.1087,30.2057,30.2201,30.2920",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.6980,27.9523,28.7969,29.0916,29.2749,29.3899,29.4438,29.5732,29.7134,29.7960,29.8679,29.8967,29.9254,30.1087,30.2057,30.2201,30.2920"
rs15-I5-12,120851,9/22/2012,26,66.17153197,-37.53071261,0,17,,17,"2,4,6,10,11,12,13,14,16,17,18,20,22,23,24,25,26","-0.6210,-0.5384,-0.3689,-0.3298,-0.3269,-0.2124,-0.1138,-0.1095,-0.0298,0.0021,0.0977,0.3122,0.3310,0.4542,0.6918,0.7816,0.8280",,,"2,4,6,10,11,12,13,14,16,17,18,20,22,23,24,25,26","25.8940,27.6182,28.2321,28.8286,28.8634,28.8634,29.0158,29.2553,29.4599,29.5296,29.6297,29.8518,29.9040,29.9563,30.0390,30.0913,30.2480",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.8940,27.6182,28.2321,28.8286,28.8634,28.8634,29.0158,29.2553,29.4599,29.5296,29.6297,29.8518,29.9040,29.9563,30.0390,30.0913,30.2480"
rs15-I5-12,120851,9/22/2012,153,66.23432876,-37.44365068,0,17,,17,"2,10,15,20,27,30,32,37,40,50,60,67,100,131,138,150,153","-0.7020,-0.4756,-0.3623,-0.0691,0.0702,0.5318,0.7089,0.8656,0.8453,0.8976,0.9992,1.3185,1.6698,1.8613,1.7655,2.1952,2.2010",,,"2,10,15,20,27,30,32,37,40,50,60,67,100,131,138,150,153","25.5620,28.5941,29.0283,29.3047,29.6126,29.7390,30.2048,30.4180,30.7892,31.3498,31.7209,31.9972,32.7395,33.0790,33.1737,33.4264,33.4580",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.5620,28.5941,29.0283,29.3047,29.6126,29.7390,30.2048,30.4180,30.7892,31.3498,31.7209,31.9972,32.7395,33.0790,33.1737,33.4264,33.4580"
rs15-I5-12,120851,9/22/2012,135,66.21305349,-37.45856903,0,17,,17,"2,4,10,14,20,30,40,44,50,53,60,65,72,80,88,100,135","-0.2990,-0.2438,0.2724,0.9265,0.9159,1.0922,1.3237,1.3429,1.1411,0.9542,1.0136,1.0540,1.3535,1.4384,1.6976,1.7273,1.8250",,,"2,4,10,14,20,30,40,44,50,53,60,65,72,80,88,100,135","26.0880,27.1529,28.5821,29.4088,29.6821,30.0954,30.2916,30.3406,30.9221,31.1954,31.6087,31.6648,32.1832,32.2673,32.5966,32.8138,33.0940",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.0880,27.1529,28.5821,29.4088,29.6821,30.0954,30.2916,30.3406,30.9221,31.1954,31.6087,31.6648,32.1832,32.2673,32.5966,32.8138,33.0940"
rs15-I5-12,120851,9/22/2012,22,66.22081814,-37.54699625,0,16,,16,"2,4,5,7,8,9,10,12,13,14,15,16,18,20,22,22","-0.5680,-0.5271,-0.4452,-0.3876,-0.3148,-0.1450,-0.0238,-0.0222,-0.0222,0.0490,0.0945,0.1779,0.4159,0.6857,0.9298,0.9480",,,"2,4,5,7,8,9,10,12,13,14,15,16,18,20,22,22","26.2100,27.1597,27.6484,28.0712,28.3277,28.4248,28.5599,28.8442,28.8996,29.0625,29.1041,29.1318,29.3086,29.4022,29.6621,29.6760",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","26.2100,27.1597,27.6484,28.0712,28.3277,28.4248,28.5599,28.8442,28.8996,29.0625,29.1041,29.1318,29.3086,29.4022,29.6621,29.6760"
rs15-I5-12,120851,9/23/2012,16,66.21226367,-37.51527976,0,13,,13,"2,4,6,8,9,10,11,12,13,14,15,16,16","-0.5970,-0.5970,-0.5830,-0.5411,-0.5131,-0.4852,-0.4572,-0.4292,-0.4013,-0.3873,-0.3454,-0.2894,-0.2894",,,"2,4,6,8,9,10,11,12,13,14,15,16,16","26.1980,27.1754,27.9761,28.3435,28.4648,28.6415,28.6693,28.7247,28.8738,28.9292,28.9569,29.0505,29.0505",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","26.1980,27.1754,27.9761,28.3435,28.4648,28.6415,28.6693,28.7247,28.8738,28.9292,28.9569,29.0505,29.0505"
rs15-I5-12,120851,9/23/2012,16,66.17662419,-37.66041992,0,13,,13,"2,3,6,7,9,10,11,12,13,14,15,16,16","-0.5470,-0.5470,-0.5191,-0.5052,-0.4216,-0.3659,-0.1987,-0.0594,0.0102,0.1356,0.2192,0.2749,0.2749",,,"2,3,6,7,9,10,11,12,13,14,15,16,16","25.9180,26.7833,27.8397,28.1656,28.3529,28.4428,28.4878,28.6788,28.7350,28.9260,28.9860,29.0159,29.0159",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0","25.9180,26.7833,27.8397,28.1656,28.3529,28.4428,28.4878,28.6788,28.7350,28.9260,28.9860,29.0159,29.0159"
rs15-I5-12,120851,9/23/2012,159,66.20006823,-37.76034113,0,17,,17,"2,10,20,30,33,40,50,60,88,98,100,107,108,113,127,150,159","-0.3570,-0.0354,0.7599,1.1359,1.4640,1.4857,0.9968,1.0250,1.5618,1.6117,1.3857,1.5205,1.6704,1.4596,1.6878,1.7139,1.8160",,,"2,10,20,30,33,40,50,60,88,98,100,107,108,113,127,150,159","25.9120,28.4173,29.1458,29.8743,30.0750,30.7441,31.3314,31.8295,32.4985,32.6398,32.6695,32.7885,32.7885,32.9074,33.1378,33.2568,33.3460",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.9120,28.4173,29.1458,29.8743,30.0750,30.7441,31.3314,31.8295,32.4985,32.6398,32.6695,32.7885,32.7885,32.9074,33.1378,33.2568,33.3460"
