ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs23-172-14,140144,8/8/2015,80,66.34910585,-37.08305683,0,16,,16,"2,4,7,10,14,20,26,30,36,40,43,44,50,59,71,80","-0.045,-0.779,-0.798,-0.314,0.193,0.752,1.002,1.036,1.147,1.160,1.074,0.758,0.039,0.056,1.103,1.305",,,"2,4,7,10,14,20,26,30,36,40,43,44,50,59,71,80","25.838,29.704,30.264,30.724,31.391,31.943,32.288,32.350,32.572,32.756,32.887,32.933,33.025,33.071,33.339,33.508",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","25.838,29.704,30.264,30.724,31.391,31.943,32.288,32.350,32.572,32.756,32.887,32.933,33.025,33.071,33.339,33.508"
rs23-172-14,140144,8/9/2015,35,66.43632418,-36.72302747,0,16,,16,"2,4,6,7,8,10,11,12,14,16,18,20,22,24,32,35","-1.051,-0.752,-0.636,-0.437,-0.309,-0.172,0.031,0.350,0.704,0.816,0.816,0.816,0.816,0.918,1.210,1.231",,,"2,4,6,7,8,10,11,12,14,16,18,20,22,24,32,35","28.792,29.405,29.743,29.896,30.199,30.596,30.981,31.358,31.775,31.912,31.936,31.960,31.999,32.129,32.651,32.722",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.792,29.405,29.743,29.896,30.199,30.596,30.981,31.358,31.775,31.912,31.936,31.960,31.999,32.129,32.651,32.722"
rs23-172-14,140144,8/9/2015,45,66.39574268,-36.79930895,0,16,,16,"2,4,9,10,11,12,14,16,18,20,22,24,29,33,40,45","-0.388,-0.132,-0.084,-0.008,0.091,0.273,0.395,0.467,0.505,0.517,0.648,0.699,0.996,1.118,1.073,1.110",,,"2,4,9,10,11,12,14,16,18,20,22,24,29,33,40,45","29.090,29.561,30.346,30.571,30.820,31.050,31.364,31.544,31.674,31.682,31.754,31.793,32.317,32.520,32.780,32.918",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.090,29.561,30.346,30.571,30.820,31.050,31.364,31.544,31.674,31.682,31.754,31.793,32.317,32.520,32.780,32.918"
rs23-172-14,140144,8/10/2015,62,66.34594837,-36.89245865,0,8,,8,"10,14,20,26,30,36,40,50","0.157,0.418,0.711,0.795,0.582,0.860,1.021,0.908",,,"10,14,20,26,30,36,40,50","31.037,31.599,31.925,32.252,32.388,32.563,32.859,33.056",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.037,31.599,31.925,32.252,32.388,32.563,32.859,33.056"
rs23-172-14,140144,8/10/2015,31,66.33655272,-36.98001814,0,16,,16,"2,7,10,12,14,15,16,18,20,22,23,24,26,28,30,31","-1.029,-0.813,-0.866,-0.923,-0.838,-0.736,-0.414,-0.414,-0.230,-0.160,-0.054,0.173,0.173,0.067,0.067,0.138",,,"2,7,10,12,14,15,16,18,20,22,23,24,26,28,30,31","24.160,29.636,30.056,30.420,30.647,30.849,31.180,31.326,31.609,31.738,31.787,31.852,32.005,32.135,32.248,32.248",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.160,29.636,30.056,30.420,30.647,30.849,31.180,31.326,31.609,31.738,31.787,31.852,32.005,32.135,32.248,32.248"
rs23-172-14,140144,8/10/2015,81,66.33903199,-36.98996683,0,8,,8,"10,14,20,26,30,36,40,50","-0.336,-0.002,0.314,0.459,0.539,0.847,0.853,0.343",,,"10,14,20,26,30,36,40,50","30.085,30.903,31.784,32.172,32.360,32.686,32.832,32.916",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","30.085,30.903,31.784,32.172,32.360,32.686,32.832,32.916"
rs23-172-14,140144,8/11/2015,22,66.32002559,-37.07048619,0,7,,7,"10,12,14,16,18,20,22","0.359,0.359,0.367,0.414,0.438,0.483,0.567",,,"10,12,14,16,18,20,22","31.084,31.098,31.098,31.202,31.355,31.515,32.148",,,,,,,0,"0,0,0,0,0,0,0","0,0,0,0,0,0,0","31.084,31.098,31.098,31.202,31.355,31.515,32.148"
rs23-172-14,140144,8/11/2015,27,66.32134089,-37.09547682,0,8,,8,"10,12,14,16,18,20,22,24","0.572,0.575,0.607,0.622,0.622,0.591,0.559,0.559",,,"10,12,14,16,18,20,22,24","31.283,31.368,31.489,31.585,31.748,31.859,31.965,32.081",,,,,,,0,"0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0","31.283,31.368,31.489,31.585,31.748,31.859,31.965,32.081"
rs23-172-14,140144,8/11/2015,54,66.32219656,-37.11173466,0,16,,16,"2,4,8,10,12,14,20,26,30,33,36,40,43,48,50,54","-0.831,-0.792,0.038,0.087,0.117,0.376,0.637,0.605,0.642,0.654,0.931,0.570,0.267,0.311,0.200,0.094",,,"2,4,8,10,12,14,20,26,30,33,36,40,43,48,50,54","27.924,29.374,30.389,30.870,31.142,31.542,32.085,32.254,32.443,32.495,32.643,32.915,32.884,33.017,33.028,33.048",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","27.924,29.374,30.389,30.870,31.142,31.542,32.085,32.254,32.443,32.495,32.643,32.915,32.884,33.017,33.028,33.048"
rs23-172-14,140144,8/12/2015,35,66.3276307,-36.9808921,0,16,,16,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,32,35","-0.769,-0.726,-0.567,-0.114,0.050,0.101,0.121,0.134,0.176,0.176,0.176,0.150,0.015,0.015,0.159,0.465",,,"2,4,6,8,10,12,14,16,18,20,22,24,26,28,32,35","29.358,29.466,29.710,30.400,30.702,30.784,31.330,31.510,31.665,31.865,31.947,32.095,32.217,32.223,32.371,32.644",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.358,29.466,29.710,30.400,30.702,30.784,31.330,31.510,31.665,31.865,31.947,32.095,32.217,32.223,32.371,32.644"
