ref,PTT,END_DATE,MAX_DBAR,LAT,LON,NUM,N_TEMP,N_COND,N_SAL,TEMP_DBAR,TEMP_VALS,COND_DBAR,COND_VALS,SAL_DBAR,SAL_VALS,N_FLUORO,FLUORO_DBAR,FLUORO_VALS,N_OXY,OXY_DBAR,OXY_VALS,QC_PROFILE,QC_TEMP,QC_SAL,SAL_CORRECTED_VALS
rs27-056-14,140140,10/6/2015,32,66.31376439,-37.70901865,0,17,,17,"2,3,4,5,8,10,12,14,15,16,18,20,22,23,24,29,32","-1.197,-1.197,-1.160,-1.069,-0.895,-0.846,-0.759,-0.612,-0.583,-0.509,-0.404,-0.297,-0.244,-0.216,-0.133,0.053,0.138",,,"2,3,4,5,8,10,12,14,15,16,18,20,22,23,24,29,32","24.422,28.798,29.324,29.555,29.901,30.004,30.107,30.228,30.280,30.280,30.382,30.459,30.530,30.556,30.607,30.761,30.838",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.422,28.798,29.324,29.555,29.901,30.004,30.107,30.228,30.280,30.280,30.382,30.459,30.530,30.556,30.607,30.761,30.838"
rs27-056-14,140140,10/6/2015,104,66.31390592,-37.70059753,0,17,,17,"2,10,15,20,25,30,31,40,50,60,63,75,77,81,88,100,104","-1.207,-0.771,-0.424,-0.305,-0.043,-0.012,0.130,0.400,0.530,0.461,0.329,0.334,0.474,0.487,0.285,0.275,0.249",,,"2,10,15,20,25,30,31,40,50,60,63,75,77,81,88,100,104","28.822,30.104,30.463,30.504,30.735,30.864,30.864,31.139,31.297,31.514,31.613,31.800,31.859,31.943,32.105,32.332,32.494",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","28.822,30.104,30.463,30.504,30.735,30.864,30.864,31.139,31.297,31.514,31.613,31.800,31.859,31.943,32.105,32.332,32.494"
rs27-056-14,140140,10/6/2015,146,66.32687684,-37.73105516,0,9,,9,"2,10,20,30,40,50,60,75,100","-1.167,-0.717,-0.110,0.243,0.479,0.537,0.408,0.368,0.274",,,"2,10,20,30,40,50,60,75,100","29.422,30.242,30.737,31.019,31.259,31.439,31.797,32.037,32.559",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","29.422,30.242,30.737,31.019,31.259,31.439,31.797,32.037,32.559"
rs27-056-14,140140,10/6/2015,110,66.33844734,-37.78489569,0,17,,17,"2,10,20,27,30,36,40,45,50,60,63,68,75,85,94,100,110","-1.198,-1.241,-0.936,-0.782,-0.483,-0.088,-0.072,0.167,0.096,0.126,0.325,0.341,-0.009,-0.399,-0.230,0.219,0.265",,,"2,10,20,27,30,36,40,45,50,60,63,68,75,85,94,100,110","29.720,30.361,30.695,30.874,30.923,31.172,31.254,31.433,31.543,31.625,31.743,31.923,32.090,32.220,32.351,32.624,32.758",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.720,30.361,30.695,30.874,30.923,31.172,31.254,31.433,31.543,31.625,31.743,31.923,32.090,32.220,32.351,32.624,32.758"
rs27-056-14,140140,10/6/2015,40,66.33122013,-37.80444027,0,17,,17,"2,10,12,14,16,18,20,21,22,23,24,26,28,32,34,37,40","-1.286,-1.277,-1.263,-1.219,-1.190,-1.138,-1.091,-1.051,-0.955,-0.845,-0.796,-0.677,-0.631,-0.437,-0.404,-0.207,-0.112",,,"2,10,12,14,16,18,20,21,22,23,24,26,28,32,34,37,40","29.560,30.261,30.353,30.464,30.464,30.586,30.619,30.658,30.671,30.729,30.782,30.840,30.891,31.016,31.067,31.172,31.218",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","29.560,30.261,30.353,30.464,30.464,30.586,30.619,30.658,30.671,30.729,30.782,30.840,30.891,31.016,31.067,31.172,31.218"
rs27-056-14,140140,10/7/2015,51,66.32556455,-37.78969734,0,9,,9,"2,10,14,20,26,30,36,40,50","-1.212,-0.912,-0.785,-0.525,-0.161,0.161,0.200,0.221,0.007",,,"2,10,14,20,26,30,36,40,50","29.434,30.282,30.530,30.762,30.968,31.001,31.208,31.307,31.513",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","29.434,30.282,30.530,30.762,30.968,31.001,31.208,31.307,31.513"
rs27-056-14,140140,10/8/2015,97,66.3242841,-37.79182853,0,9,,9,"2,10,14,20,26,30,36,40,50","-1.268,-1.024,-0.853,-0.607,-0.353,-0.169,0.039,0.085,0.370",,,"2,10,14,20,26,30,36,40,50","26.574,30.020,30.239,30.418,30.547,30.727,30.833,30.923,31.119",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","26.574,30.020,30.239,30.418,30.547,30.727,30.833,30.923,31.119"
rs27-056-14,140140,8/7/2015,82,66.33794969,-37.14274845,0,17,,17,"2,5,10,14,20,26,30,36,40,44,50,52,54,56,57,65,82","0.099,-0.564,-0.404,0.218,0.926,1.035,1.041,1.112,1.102,1.027,0.522,0.425,-0.019,-0.019,0.271,0.875,1.410",,,"2,5,10,14,20,26,30,36,40,44,50,52,54,56,57,65,82","24.162,29.278,30.520,31.206,32.040,32.225,32.299,32.411,32.550,32.624,32.772,32.846,32.883,32.846,32.883,33.096,33.430",,,,,,,0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","24.162,29.278,30.520,31.206,32.040,32.225,32.299,32.411,32.550,32.624,32.772,32.846,32.883,32.846,32.883,33.096,33.430"
rs27-056-14,140140,8/9/2015,59,66.4949228,-36.638061,0,9,,9,"2,10,14,20,26,30,36,40,50","-1.429,-0.476,0.140,0.918,0.976,1.024,1.213,1.226,1.202",,,"2,10,14,20,26,30,36,40,50","29.288,29.909,31.099,31.943,32.137,32.227,32.466,32.584,32.853",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","29.288,29.909,31.099,31.943,32.137,32.227,32.466,32.584,32.853"
rs27-056-14,140140,8/9/2015,136,66.45355835,-36.74076706,0,9,,9,"2,10,20,30,40,50,60,75,100","-1.361,-0.344,0.978,1.233,1.233,0.947,0.749,0.889,1.544",,,"2,10,20,30,40,50,60,75,100","29.374,30.305,32.073,32.496,32.774,33.040,33.305,33.323,33.674",,,,,,,0,"0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0,0,0","29.374,30.305,32.073,32.496,32.774,33.040,33.305,33.323,33.674"
